Author,URL,Points
simi,https://steemit.com/blocktradesworldcup/@simi/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,10
josephinengpy,https://steemit.com/blocktradesworldcup/@josephinengpy/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,10
alpayabotak,https://steemit.com/blocktradesworldcup/@alpayabotak/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-bbc05af676652,10
dreamrafa,https://steemit.com/blocktradesworldcup/@dreamrafa/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,10
wakrey21,https://steemit.com/blocktradesworldcup/@wakrey21/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,9
stnr,https://steemit.com/blocktradesworldcup/@stnr/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,9
girolamomarotta,https://steemit.com/blocktradesworldcup/@girolamomarotta/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-girolamomarotta,9
acquarius30,https://steemit.com/blocktradesworldcup/@acquarius30/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-acquarius30,9
crazy-andy,https://steemit.com/blocktradesworldcup/@crazy-andy/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,9
nahaha,https://steemit.com/blocktradesworldcup/@nahaha/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,9
ropavejero,https://steemit.com/blocktradesworldcup/@ropavejero/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,8
frank4jesus,https://steemit.com/blocktradesworldcup/@frank4jesus/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,8
zainuddin88,https://steemit.com/blocktradesworldcup/@zainuddin88/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,8
shikamaru-nara,https://steemit.com/blocktradesworldcup/@shikamaru-nara/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-ef5da8531f638,8
yasliapoetry,https://steemit.com/blocktradesworldcup/@yasliapoetry/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
stalexmkl,https://steemit.com/blocktradesworldcup/@stalexmkl/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
singhtheripper,https://steemit.com/blocktradesworldcup/@singhtheripper/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
rijalaronaceh,https://steemit.com/blocktradesworldcup/@rijalaronaceh/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
perlia,https://steemit.com/blocktradesworldcup/@perlia/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
parryinecstasy,https://steemit.com/blocktradesworldcup/@parryinecstasy/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
neduejianya,https://steemit.com/blocktradesworldcup/@neduejianya/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
muksalmi,https://steemit.com/blocktradesworldcup/@muksalmi/the-blocktrades-world-cup-or-my-selection-for-the-quarter-final-9442118ca3f62,7
momekato,https://steemit.com/blocktradesworldcup/@momekato/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
mekky,https://steemit.com/blocktradesworldcup/@mekky/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
medical-hall,https://steemit.com/blocktradesworldcup/@medical-hall/the-blocktrades-world-cup-or-my-selections-for-the-quater-finals,7
emma001,https://steemit.com/blocktradesworldcup/@emma001/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-ae6d025cc35d4,7
datilla,https://steemit.com/blocktradesworldcup/@datilla/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
cranium,https://steemit.com/blocktradesworldcup/@cranium/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
bangboy,https://steemit.com/blocktradesworldcup/@bangboy/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
aledania,https://steemit.com/blocktradesworldcup/@aledania/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
welshstacker,https://steemit.com/blocktradesworldcup/@welshstacker/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
stimialiti,https://steemit.com/blocktradesworldcup/@stimialiti/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
steemiteruy,https://steemit.com/blocktradesworldcup/@steemiteruy/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
osariemen,https://steemit.com/blocktradesworldcup/@osariemen/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
ninoh22,https://steemit.com/blocktradesworldcup/@ninoh22/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
farisi,https://steemit.com/blocktradesworldcup/@farisi/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
dtwo,https://steemit.com/blocktradesworldcup/@dtwo/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
dianagomez,https://steemit.com/blocktradesworldcup/@dianagomez/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
cosminblaga,https://steemit.com/blocktradesworldcup/@cosminblaga/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
apple96,https://steemit.com/blocktradesworldcup/@apple96/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
lizanomadsoul,https://steemit.com/blocktradesworldcup/@lizanomadsoul/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
bobskibob,https://steemit.com/blocktradesworldcup/@bobskibob/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
adiforever,https://steemit.com/blocktradesworldcup/@adiforever/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-f7021f912aa92,7
zaimrofiqi,https://steemit.com/blocktradesworldcup/@zaimrofiqi/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-4e046e5046437,7
palomot,https://steemit.com/blocktradesworldcup/@palomot/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
obulunmaz,https://steemit.com/blocktradesworldcup/@obulunmaz/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
mulyadi.alwi,https://steemit.com/blocktradesworldcup/@mulyadi.alwi/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
kevinfm,https://steemit.com/blocktradesworldcup/@kevinfm/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
frostie-lebron,https://steemit.com/blocktradesworldcup/@frostie-lebron/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
anyuta-rai,https://steemit.com/blocktradesworldcup/@anyuta-rai/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
vieira,https://steemit.com/blocktradesworldcup/@vieira/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
nurulsteemit,https://steemit.com/blocktradesworldcup/@nurulsteemit/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-dd5e86e397de1,7
mzakybrt,https://steemit.com/blocktradesworldcup/@mzakybrt/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
stimp1024,https://steemit.com/blocktradesworldcup/@stimp1024/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
raisul,https://steemit.com/blocktradesworldcup/@raisul/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
prettysnake,https://steemit.com/blocktradesworldcup/@prettysnake/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
pizzapai,https://steemit.com/blocktradesworldcup/@pizzapai/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
lidsay,https://steemit.com/blocktradesworldcup/@lidsay/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-bc94b10c8c7b7,6
idgonzalez,https://steemit.com/blocktradesworldcup/@idgonzalez/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
gusvzla,https://steemit.com/blocktradesworldcup/@gusvzla/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
fakhirah,https://steemit.com/blocktradesworldcup/@fakhirah/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
cindycam,https://steemit.com/blocktradesworldcup/@cindycam/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
cekismail,https://steemit.com/blocktradesworldcup/@cekismail/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-fc999a774756a,6
superfazio,https://steemit.com/blocktradesworldcup/@superfazio/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
ryanfirdaus,https://steemit.com/blocktradesworldcup/@ryanfirdaus/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
okipeter,https://steemit.com/blocktradesworldcup/@okipeter/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
